upazila_code,type,param,area,percent,len
406552,pktp,P4,903509,26.76,40-50 days
406552,pktp,P5,2473076,73.24,50-60 days
406552,krgp,K5,3376585,100,210-220/120-140 days
406552,cwz,T4,57916,1.72,70-90 days
406552,cwz,T3,3318669,98.28,50-70 days
406552,hsz,E2,3376585,100,0.5-5 days
406576,pktp,P5,3834025,100,50-60 days
406576,krgp,K5,3114840,81.24,210-220/120-140 days
406576,krgp,K4,719184,18.76,200-210/115-135 days
406576,cwz,T4,1054679,27.51,70-90 days
406576,cwz,T3,2779345,72.49,50-70 days
406576,hsz,E2,3834025,100,0.5-5 days
406528,pktp,P5,3855315,100,50-60 days
406528,krgp,K5,3259129,84.54,210-220/120-140 days
406528,krgp,K4,596185,15.46,200-210/115-135 days
406528,cwz,T3,3855315,100,50-70 days
406528,hsz,E2,3790518,98.32,0.5-5 days
406528,hsz,E1,64796,1.68,less than 0.5 days
408725,pktp,P6,1693538,100,60-70 days
408725,krgp,K3,1529918,90.34,190-200/115-135 days
408725,krgp,K4,163620,9.66,200-210/115-135 days
408725,cwz,T3,1693538,100,50-70 days
408725,hsz,E2,1686301,99.57,0.5-5 days
408725,hsz,E1,7237,0.43,less than 0.5 days
408704,pktp,P6,1879693,39.15,60-70 days
408704,pktp,P5,2921537,60.85,50-60 days
408704,krgp,K3,392779,8.18,190-200/115-135 days
408704,krgp,K4,4408451,91.82,200-210/115-135 days
408704,cwz,T3,4801231,100,50-70 days
408704,hsz,E2,4801231,100,0.5-5 days
408747,pktp,P6,1526198,48.18,60-70 days
408747,pktp,P5,1641298,51.82,50-60 days
408747,krgp,K3,3014177,95.16,190-200/115-135 days
408747,krgp,K4,153319,4.84,200-210/115-135 days
408747,cwz,T3,3167496,100,50-70 days
408747,hsz,E2,3167496,100,0.5-5 days
408743,pktp,P6,2332238,100,60-70 days
408743,krgp,K4,2332238,100,200-210/115-135 days
408743,cwz,T3,2332238,100,50-70 days
408743,hsz,E2,2332238,100,0.5-5 days
408782,pktp,P6,3977763,100,60-70 days
408782,krgp,K3,1313422,33.02,190-200/115-135 days
408782,krgp,K4,2664341,66.98,200-210/115-135 days
408782,cwz,T3,3977763,100,50-70 days
408782,hsz,E2,3934128,98.9,0.5-5 days
408782,hsz,E1,43635,1.1,less than 0.5 days
453907,pktp,P3,8301,19.87,30-40 days
453907,pktp,P4,33468,80.13,40-50 days
453907,krgp,K6,33468,80.13,220-230/120-145 days
453907,krgp,K7,8301,19.87,230-240/120-145 days
453907,cwz,T4,41770,100,70-90 days
453907,hsz,E2,41770,100,0.5-5 days
