upazila_code,type,param,area,percent,len
305956,pktp,P4,1843088,100,40-50 days
305956,krgp,K6,1843088,100,220-230/120-145 days
305956,cwz,T3,1843088,100,50-70 days
305956,hsz,E1,1843088,100,less than 0.5 days
305974,pktp,P4,1760925,100,40-50 days
305974,krgp,K6,1760925,100,220-230/120-145 days
305974,cwz,T3,1760925,100,50-70 days
305974,hsz,E1,1760925,100,less than 0.5 days
305984,pktp,P4,2573452,100,40-50 days
305984,krgp,K6,2573452,100,220-230/120-145 days
305984,cwz,T3,2573452,100,50-70 days
305984,hsz,E1,2573452,100,less than 0.5 days
305994,pktp,P4,1461009,100,40-50 days
305994,krgp,K6,1461009,100,220-230/120-145 days
305994,cwz,T3,1461009,100,50-70 days
305994,hsz,E1,1461009,100,less than 0.5 days
306706,pktp,P4,521718,100,40-50 days
306706,krgp,K6,521718,100,220-230/120-145 days
306706,cwz,T3,521718,100,50-70 days
306706,hsz,E1,521718,100,less than 0.5 days
306758,pktp,P4,15853,100,40-50 days
306758,krgp,K6,15853,100,220-230/120-145 days
306758,cwz,T3,15853,100,50-70 days
306758,hsz,E1,15853,100,less than 0.5 days
306702,pktp,P4,1768749,100,40-50 days
306702,krgp,K6,1768749,100,220-230/120-145 days
306702,cwz,T3,1768749,100,50-70 days
306702,hsz,E1,1768749,100,less than 0.5 days
306768,pktp,P4,1806365,100,40-50 days
306768,krgp,K6,1806365,100,220-230/120-145 days
306768,cwz,T3,1806365,100,50-70 days
306768,hsz,E1,1806365,100,less than 0.5 days
306704,pktp,P4,1834978,100,40-50 days
306704,krgp,K6,1834978,100,220-230/120-145 days
306704,cwz,T3,1834978,100,50-70 days
306704,hsz,E1,1834978,100,less than 0.5 days
306807,pktp,P3,738277,62.08,30-40 days
306807,pktp,P4,451026,37.92,40-50 days
306807,krgp,K7,1189303,100,230-240/120-145 days
306807,cwz,T3,1189303,100,50-70 days
306807,hsz,E1,1189303,100,less than 0.5 days
306852,pktp,P3,503646,25.97,30-40 days
306852,pktp,P4,1435687,74.03,40-50 days
306852,krgp,K6,84354,4.35,220-230/120-145 days
306852,krgp,K7,1854980,95.65,230-240/120-145 days
306852,cwz,T3,1939334,100,50-70 days
306852,hsz,E1,1939334,100,less than 0.5 days
306860,pktp,P4,2221355,100,40-50 days
306860,krgp,K6,2221355,100,220-230/120-145 days
306860,cwz,T3,2221355,100,50-70 days
306860,hsz,E1,2221355,100,less than 0.5 days
306863,pktp,P4,950046,100,40-50 days
306863,krgp,K6,950046,100,220-230/120-145 days
306863,cwz,T3,950046,100,50-70 days
306863,hsz,E1,950046,100,less than 0.5 days
306864,pktp,P3,955879,23.35,30-40 days
306864,pktp,P4,3137905,76.65,40-50 days
306864,krgp,K6,741845,18.12,220-230/120-145 days
306864,krgp,K7,3351939,81.88,230-240/120-145 days
306864,cwz,T3,4093784,100,50-70 days
306864,hsz,E1,4093784,100,less than 0.5 days
306876,pktp,P4,2091982,100,40-50 days
306876,krgp,K6,768819,36.75,220-230/120-145 days
306876,krgp,K7,1323163,63.25,230-240/120-145 days
306876,cwz,T3,2091982,100,50-70 days
306876,hsz,E1,2091982,100,less than 0.5 days
308229,pktp,P4,29702,100,40-50 days
308229,krgp,K5,14120,47.54,210-220/120-140 days
308229,krgp,K6,15581,52.46,220-230/120-145 days
308229,cwz,T3,29702,100,50-70 days
308229,hsz,E2,24626,82.91,0.5-5 days
308229,hsz,E1,5076,17.09,less than 0.5 days
308207,pktp,P4,2943805,100,40-50 days
308207,krgp,K5,699203,23.75,210-220/120-140 days
308207,krgp,K6,2244602,76.25,220-230/120-145 days
308207,cwz,T4,1059596,35.99,70-90 days
308207,cwz,T3,1884210,64.01,50-70 days
308207,hsz,E2,2943805,100,0.5-5 days
308247,pktp,P4,1696934,100,40-50 days
308247,krgp,K5,1693458,99.8,210-220/120-140 days
308247,krgp,K6,3476,0.2,220-230/120-145 days
308247,cwz,T4,1687136,99.42,70-90 days
308247,cwz,T3,9797,0.58,50-70 days
308247,hsz,E2,1696934,100,0.5-5 days
308273,pktp,P4,956299,36.96,40-50 days
308273,pktp,P5,1631085,63.04,50-60 days
308273,krgp,K5,2587384,100,210-220/120-140 days
308273,cwz,T4,2587384,100,70-90 days
308273,hsz,E2,2587384,100,0.5-5 days
308625,pktp,P4,961034,100,40-50 days
308625,krgp,K6,961034,100,220-230/120-145 days
308625,cwz,T3,961034,100,50-70 days
308625,hsz,E1,961034,100,less than 0.5 days
308276,pktp,P4,3282903,100,40-50 days
308276,krgp,K5,1305537,39.77,210-220/120-140 days
308276,krgp,K6,1977367,60.23,220-230/120-145 days
308276,cwz,T4,398709,12.14,70-90 days
308276,cwz,T3,2884195,87.86,50-70 days
308276,hsz,E2,3192194,97.24,0.5-5 days
308276,hsz,E1,90709,2.76,less than 0.5 days
308636,pktp,P4,2298106,100,40-50 days
308636,krgp,K6,2298106,100,220-230/120-145 days
308636,cwz,T3,2298106,100,50-70 days
308636,hsz,E1,2298106,100,less than 0.5 days
308614,pktp,P4,3524086,100,40-50 days
308614,krgp,K6,3524086,100,220-230/120-145 days
308614,cwz,T3,3524086,100,50-70 days
308614,hsz,E1,3524086,100,less than 0.5 days
308665,pktp,P4,2961430,100,40-50 days
308665,krgp,K6,2961430,100,220-230/120-145 days
308665,cwz,T3,2961430,100,50-70 days
308665,hsz,E1,2961430,100,less than 0.5 days
308669,pktp,P4,1710099,100,40-50 days
308669,krgp,K6,1710099,100,220-230/120-145 days
308669,cwz,T3,1710099,100,50-70 days
308669,hsz,E1,1710099,100,less than 0.5 days
308694,pktp,P4,3011297,100,40-50 days
308694,krgp,K6,3011297,100,220-230/120-145 days
308694,cwz,T3,3011297,100,50-70 days
308694,hsz,E1,3011297,100,less than 0.5 days
309309,pktp,P4,1043435,66.91,40-50 days
309309,pktp,P5,515996,33.09,50-60 days
309309,krgp,K5,1559431,100,210-220/120-140 days
309309,cwz,T4,1559431,100,70-90 days
309309,hsz,E1,1559431,100,less than 0.5 days
309323,pktp,P4,102438,4.75,40-50 days
309323,pktp,P5,2054884,95.25,50-60 days
309323,krgp,K5,1553924,72.03,210-220/120-140 days
309323,krgp,K4,603399,27.97,200-210/115-135 days
309323,cwz,T4,2157323,100,70-90 days
309323,hsz,E2,10500,0.49,0.5-5 days
309323,hsz,E1,2146823,99.51,less than 0.5 days
309319,pktp,P4,293612,12.63,40-50 days
309319,pktp,P5,2031823,87.37,50-60 days
309319,krgp,K5,2078647,89.39,210-220/120-140 days
309319,krgp,K4,246788,10.61,200-210/115-135 days
309319,cwz,T4,2325435,100,70-90 days
309319,hsz,E2,2304206,99.09,0.5-5 days
309319,hsz,E1,21229,0.91,less than 0.5 days
309325,pktp,P4,1375926,100,40-50 days
309325,krgp,K5,1375926,100,210-220/120-140 days
