upazila_code,type,category,area,ord
100428,reaction,Moderately Acidic,874.5,3
100428,reaction,Neutral,1389.73,4
100428,moisture,Low,11961.07,1
100428,moisture,Medium,10671.56,2
100428,moisture,High,2264.23,3
100428,salinity,Non Saline,1389.73,1
100428,salinity,Very Slightly Saline,434.62,2
100428,salinity,Slightly Saline,23072.52,3
100428,recession,Early,4574.46,2
100428,recession,Normal,20322.4,3
100428,relief,Level,24896.86,
100651,landtype,High Land,787.94,
100651,landtype,Medium High Land-1,6279.87,
100651,landtype,Medium High Land-2,11972.36,
100651,landtype,Medium Low Land,1491.1,
100651,landtype,Low land,350,
100651,texture,Loam,6861.21,3
100651,texture,Clay Loam,11105.3,4
100651,texture,Clay,2914.76,5
100651,consistency,Friable,10611.57,2
100651,consistency,Firm,10269.7,3
100651,drainage,Imperfectly Drained,787.94,3
100651,drainage,Poorly Drained,20093.34,4
100651,reaction,Moderately Acidic,10745.34,3
100651,reaction,Neutral,2762.07,4
100651,reaction,Moderately Alkaline,7373.86,5
100651,moisture,Low,2914.76,1
100651,moisture,Medium,9891,2
100651,moisture,High,8075.51,3
100651,salinity,Non Saline,20881.27,1
100651,recession,Very Early,787.94,1
100651,recession,Early,7287.57,2
100651,recession,Normal,10205.24,3
100651,recession,Late,2600.53,4
100651,relief,Level,13485.07,
100651,relief,Slightly Undulating,7396.21,
100607,landtype,High Land,42.45,
100607,landtype,Medium High Land-1,16033.33,
100607,landtype,Medium High Land-2,16082.25,
100607,texture,Loam,2008.88,3
100607,texture,Clay Loam,9715.24,4
100607,texture,Clay,20433.92,5
100607,consistency,Friable,2008.88,2
100607,consistency,Firm,30149.16,3
100607,drainage,Imperfectly Drained,42.45,3
100607,drainage,Poorly Drained,32115.58,4
100607,reaction,Neutral,20727.79,4
100607,reaction,Moderately Alkaline,11430.24,5
100607,moisture,Low,19111.44,1
100607,moisture,Medium,9141.02,2
100607,moisture,High,3905.57,3
100607,salinity,Non Saline,31502.37,1
100607,salinity,Very Slightly Saline,655.66,2
100607,recession,Very Early,42.45,1
100607,recession,Early,2336.05,2
100607,recession,Normal,17682.12,3
100607,recession,Late,12097.41,4
100607,relief,Level,32158.03,
100610,landtype,Medium High Land-1,1003.12,
100610,landtype,Medium High Land-2,5294.11,
100610,landtype,Medium Low Land,776.62,
100610,texture,Loam,1214.35,3
100610,texture,Clay Loam,5247.41,4
100610,texture,Clay,612.1,5
100610,consistency,Friable,1057.45,2
100610,consistency,Firm,6016.4,3
100610,drainage,Poorly Drained,6039.03,4
100610,drainage,Very Poorly Drained,1034.82,5
100610,reaction,Neutral,5834.62,4
100610,reaction,Moderately Alkaline,1239.23,5
100610,moisture,Low,524.74,1
100610,moisture,Medium,3980.61,2
100610,moisture,High,2324.25,3
100610,moisture,Very High,244.25,4
100610,salinity,Non Saline,7073.85,1
100610,recession,Early,2062.05,2
100610,recession,Normal,608.37,3
100610,recession,Late,3674.32,4
100610,recession,Very Late,729.1,5
100610,relief,Level,7073.85,
100662,landtype,High Land,160.46,
100662,landtype,Medium High Land-1,1874.41,
100662,landtype,Medium High Land-2,7693.04,
100662,landtype,Medium Low Land,6785.3,
100662,texture,Loam,11860.27,3
100662,texture,Clay Loam,2822.71,4
100662,texture,Clay,1830.23,5
100662,consistency,Friable,11901.45,2
100662,consistency,Firm,4611.76,3
100662,drainage,Imperfectly Drained,160.46,3
100662,drainage,Poorly Drained,16352.75,4
100662,reaction,Neutral,6690.69,4
100662,reaction,Moderately Alkaline,9822.52,5
100662,moisture,Low,1830.23,1
100662,moisture,Medium,12026.49,2
100662,moisture,High,2656.49,3
100662,salinity,Non Saline,16513.21,1
100662,recession,Very Early,160.46,1
100662,recession,Early,2496.03,2
100662,recession,Normal,6749.46,3
100662,recession,Late,7107.26,4
100662,relief,Level,14745.58,
100662,relief,Slightly Undulating,1767.63,
100632,landtype,High Land,237.77,
100632,landtype,Medium High Land-1,639.37,
100632,landtype,Medium High Land-2,4105.22,
100632,landtype,Medium Low Land,2946.42,
100632,landtype,Low land,601.67,
100632,texture,Loam,913.4,3
100632,texture,Clay Loam,5291.58,4
100632,texture,Clay,2325.48,5
100632,consistency,Friable,1338.18,2
100632,consistency,Firm,7192.27,3
100632,drainage,Imperfectly Drained,237.77,3
100632,drainage,Poorly Drained,8292.68,4
100632,reaction,Moderately Acidic,1045.62,3
100632,reaction,Neutral,6274.39,4
100632,reaction,Moderately Alkaline,890.53,5
100632,reaction,Strongly Alkaline,319.9,6
100632,moisture,Low,4329.23,1
100632,moisture,Medium,2863.05,2
100632,moisture,High,1338.18,3
100632,salinity,Non Saline,7636.15,1
100632,salinity,Very Slightly Saline,894.3,2
100632,recession,Very Early,237.77,1
100632,recession,Early,3835.46,2
100632,recession,Normal,2262.46,3
100632,recession,Late,2194.77,4
100632,relief,Level,8210.55,
100632,relief,Slightly Undulating,319.9,
100636,landtype,High Land,73.16,
100636,landtype,Medium High Land-1,2172.53,
100636,landtype,Medium High Land-2,10230,
100636,landtype,Medium Low Land,5310.86,
100636,texture,Loam,17467.66,3
100636,texture,Clay,318.89,5
100636,consistency,Friable,17467.66,2
100636,consistency,Firm,318.89,3
100636,drainage,Imperfectly Drained,73.16,3
100636,drainage,Poorly Drained,17713.39,4
100636,reaction,Neutral,535.84,4
100636,reaction,Moderately Alkaline,17250.72,5
100636,moisture,Low,318.89,1
100636,moisture,Medium,8811.89,2
100636,moisture,High,8655.77,3
100636,salinity,Non Saline,17786.56,1
100636,recession,Very Early,73.16,1
100636,recession,Early,1503.58,2
100636,recession,Normal,10580.06,3
100636,recession,Late,5629.76,4
100636,relief,Level,17015.91,
100636,relief,Slightly Undulating,770.65,
100669,landtype,High Land,45.41,
100669,landtype,Medium High Land-1,1523.53,
100669,landtype,Medium High Land-2,10387.42,
100669,landtype,Medium Low Land,3450.37,
100669,texture,Loam,7159.57,3
100669,texture,Clay Loam,5917.8,4
100669,texture,Clay,2329.36,5
100669,consistency,Friable,7159.57,2
100669,consistency,Firm,8247.16,3
100669,drainage,Imperfectly Drained,45.41,3
100669,drainage,Poorly Drained,15361.32,4
100669,reaction,Moderately Acidic,2858.56,3
100669,reaction,Neutral,6577.73,4
100669,reaction,Moderately Alkaline,5970.44,5
100669,moisture,Low,2329.36,1
100669,moisture,Medium,5917.8,2
100669,moisture,High,7159.57,3
100669,salinity,Non Saline,15406.73,1
100669,recession,Very Early,45.41,1
100669,recession,Early,10388.74,2
100669,recession,Normal,4833.27,3
100669,recession,Late,139.3,4
100669,relief,Level,14913.54,
100669,relief,Slightly Undulating,493.19,
100694,landtype,High Land,1093.33,
100694,landtype,Medium High Land-1,1050.15,
100694,landtype,Medium High Land-2,3516.92,
100694,landtype,Medium Low Land,6800.26,
100694,landtype,Low land,6191.89,
100694,texture,Loam,4954.3,3
100694,texture,Clay Loam,9898.65,4
100694,texture,Clay,3799.6,5
100694,consistency,Friable,5406.77,2
100694,consistency,Firm,13245.78,3
100694,drainage,Imperfectly Drained,1093.33,3
100694,drainage,Poorly Drained,11657.41,4
100694,drainage,Very Poorly Drained,5901.81,5
100694,reaction,Strongly Acidic,1245.24,2
100694,reaction,Moderately Acidic,8445.1,3
100694,reaction,Neutral,8705.72,4
100694,reaction,Moderately Alkaline,256.49,5
100694,moisture,Low,3328.07,1
100694,moisture,Medium,7645.41,2
100694,moisture,High,1777.25,3
100694,moisture,Very High,5901.81,4
100694,salinity,Non Saline,14565.01,1
100694,salinity,Very Slightly Saline,3616.01,2
100694,salinity,Slightly Saline,471.52,3
100694,recession,Very Early,1093.33,1
100694,recession,Early,3099.52,2
100694,recession,Normal,4576.69,3
100694,recession,Late,3981.2,4
100694,recession,Very Late,5901.81,5
100694,relief,Level,16679.53,
100694,relief,Slightly Undulating,1973.02,
100929,landtype,High Land,360.26,
100929,landtype,Medium High Land-1,1965.69,
100929,landtype,Medium High Land-2,2047.55,
100929,landtype,Medium Low Land,3494.22,
100929,texture,Loam,6484.72,3
100929,texture,Clay Loam,1383,4
100929,consistency,Friable,6484.72,2
100929,consistency,Firm,1383,3
100929,drainage,Imperfectly Drained,360.26,3
100929,drainage,Poorly Drained,7507.46,4
100929,reaction,Moderately Acidic,3395.66,3
100929,reaction,Neutral,977.83,4
100929,reaction,Moderately Alkaline,3494.22,5
100929,moisture,Medium,1383,2
100929,moisture,High,6484.72,3
100929,salinity,Slightly Saline,4650.17,3
100929,salinity,Moderately Saline,2836.73,4
100929,salinity,Strongly Saline,380.82,5
100929,recession,Very Early,656.19,1
100929,recession,Early,2334.3,2
100929,recession,Normal,4877.23,3
100929,relief,Level,7867.72,
100965,landtype,Medium High Land-1,2292.92,
100965,landtype,Medium High Land-2,3080.37,
100965,landtype,Medium Low Land,5768.96,
100965,texture,Sand,0.12,1
100965,texture,Loam,11142.14,3
100965,consistency,Loose,0.12,1
100965,consistency,Friable,11142.14,2
100965,drainage,Poorly Drained,11142.26,4
100965,reaction,Strongly Acidic,428.5,2
100965,reaction,Moderately Acidic,2825.77,3
100965,reaction,Neutral,1228.34,4
100965,reaction,Moderately Alkaline,6659.65,5
100965,moisture,Low,0.12,1
100965,moisture,Medium,8236.12,2
100965,moisture,High,2906.03,3
100965,salinity,Very Slightly Saline,0.12,2
100965,salinity,Slightly Saline,6424.01,3
100965,salinity,Strongly Saline,2702.71,5
100965,salinity,Extremely Saline,2015.43,6
100965,recession,Early,2951.94,2
100965,recession,Normal,2421.48,3
100965,recession,Late,5768.84,4
100965,relief,Level,11142.26,
100921,landtype,High Land,780.09,
100921,landtype,Medium High Land-1,4414.02,
100921,landtype,Medium High Land-2,4114.67,
100921,landtype,Medium Low Land,1676.63,
100921,texture,Loam,8428.1,3
100921,texture,Clay Loam,2557.31,4
100921,consistency,Friable,8428.1,2
100921,consistency,Firm,2557.31,3
100921,drainage,Imperfectly Drained,780.09,3
100921,drainage,Poorly Drained,10205.32,4
100921,reaction,Strongly Acidic,4006.97,2
100921,reaction,Moderately Acidic,5301.81,3
