upazila_code,map_unit,unit_title_en,unit_title_bn,area,percent
405787,6,Agri Land,,3715,14.14
405787,7,Agri Land,,773,2.94
405787,8,Agri Land,,1913,7.28
405787,9,Agri Land,,475,1.81
405787,81,Settlement,,4431,16.87
405787,83,River,,266,1.01
405787,86,,,88,0.33
405787,112,Waterbody,,233,0.89
405787,113,,,105,0.4
405787,119,,,507,1.93
406528,1,Agri Land,,2940,9.62
406528,2,Agri Land,,1067,3.49
406528,3,Agri Land,,4472,14.63
406528,4,Agri Land,,3238,10.59
406528,5,Agri Land,,3740,12.23
406528,6,Agri Land,,1286,4.21
406528,7,Agri Land,,1421,4.65
406528,8,Agri Land,,2912,9.52
406528,79,,,1,0
406528,80,,,5,0.02
406528,81,Settlement,,7851,25.68
406528,83,River,,1233,4.03
406528,86,,,168,0.55
406528,113,,,239,0.78
406552,1,Agri Land,,2400,8.17
406552,2,Agri Land,,3618,12.32
406552,3,Agri Land,,1530,5.21
406552,4,Agri Land,,3435,11.7
406552,5,Agri Land,,5679,19.34
406552,6,Agri Land,,954,3.25
406552,7,Agri Land,,2382,8.11
406552,8,Agri Land,,946,3.22
406552,81,Settlement,,6199,21.11
406552,83,River,,1765,6.01
406552,84,,,195,0.66
406552,99,,,43,0.15
406552,112,Waterbody,,218,0.74
406552,113,,,2,0.01
406576,1,Agri Land,,311,0.8
406576,2,Agri Land,,5797,14.82
406576,3,Agri Land,,1277,3.26
406576,4,Agri Land,,3593,9.18
406576,5,Agri Land,,5122,13.09
406576,6,Agri Land,,4436,11.34
406576,7,Agri Land,,2042,5.22
406576,8,Agri Land,,4309,11.01
406576,81,Settlement,,11429,29.21
406576,83,River,,764,1.95
406576,112,Waterbody,,26,0.07
406576,113,,,21,0.05
408704,1,Agri Land,,362,0.96
408704,2,Agri Land,,454,1.2
408704,3,Agri Land,,4020,10.63
408704,4,Agri Land,,12762,33.75
408704,5,Agri Land,,2250,5.95
408704,6,Agri Land,,4188,11.08
408704,7,Agri Land,,2401,6.35
408704,8,Agri Land,,247,0.65
408704,81,Settlement,,6780,17.93
408704,83,River,,4071,10.77
408704,84,,,275,0.73
408725,1,Agri Land,,2820,16.24
408725,2,Agri Land,,272,1.57
408725,3,Agri Land,,621,3.58
408725,4,Agri Land,,1776,10.23
408725,5,Agri Land,,7698,44.33
408725,6,Agri Land,,838,4.83
408725,7,Agri Land,,755,4.35
408725,81,Settlement,,2043,11.76
408725,83,River,,533,3.07
408725,113,,,8,0.05
408743,1,Agri Land,,1178,5.05
408743,2,Agri Land,,8322,35.66
408743,3,Agri Land,,1635,7.01
408743,4,Agri Land,,4031,17.27
408743,5,Agri Land,,1329,5.7
408743,6,Agri Land,,52,0.22
408743,81,Settlement,,6200,26.56
408743,83,River,,451,1.93
408743,112,Waterbody,,94,0.4
408743,113,,,46,0.2
408747,1,Agri Land,,1352,4.1
408747,2,Agri Land,,791,2.4
408747,3,Agri Land,,1539,4.66
408747,4,Agri Land,,605,1.83
408747,5,Agri Land,,6031,18.28
408747,6,Agri Land,,4498,13.63
408747,7,Agri Land,,8084,24.5
408747,8,Agri Land,,3051,9.25
408747,81,Settlement,,5760,17.46
408747,83,River,,1248,3.78
408747,112,Waterbody,,19,0.06
408747,113,,,18,0.06
408782,1,Agri Land,,10051,25.18
408782,2,Agri Land,,7547,18.9
408782,3,Agri Land,,3322,8.32
408782,4,Agri Land,,1800,4.51
408782,5,Agri Land,,3956,9.91
408782,6,Agri Land,,3857,9.66
408782,7,Agri Land,,2253,5.64
408782,81,Settlement,,6675,16.72
408782,83,River,,398,1
408782,112,Waterbody,,65,0.16
408790,1,Agri Land,,1806,5.33
408790,2,Agri Land,,2538,7.48
408790,3,Agri Land,,2350,6.93
408790,4,Agri Land,,648,1.91
408790,5,Agri Land,,334,0.99
408790,6,Agri Land,,337,0.99
408790,7,Agri Land,,2163,6.38
408790,8,Agri Land,,1578,4.65
408790,9,Agri Land,,518,1.53
408790,10,Agri Land,,14235,41.97
408790,81,Settlement,,6707,19.77
408790,83,River,,637,1.88
408790,112,Waterbody,,60,0.18
408790,113,,,4,0.01
408786,1,Agri Land,,2335,1.11
408786,2,Agri Land,,9017,4.28
408786,3,Agri Land,,10606,5.03
408786,4,Agri Land,,1789,0.85
408786,5,Agri Land,,1640,0.78
408786,6,Agri Land,,3708,1.76
408786,7,Agri Land,,3316,1.57
408786,81,Settlement,,8053,3.82
408786,83,River,,6010,2.85
408786,85,Forest,,163932,77.76
408786,112,Waterbody,,394,0.19
408786,113,,,17,0.01
453915,1,Agri Land,,934,3.51
453915,2,Agri Land,,327,1.23
453915,3,Agri Land,,404,1.52
453915,4,Agri Land,,160,0.6
453915,5,Agri Land,,1832,6.88
453915,6,Agri Land,,9202,34.55
453915,7,Agri Land,,1169,4.39
453915,8,Agri Land,,8111,30.45
453915,81,Settlement,,1898,7.13
453915,83,River,,2497,9.38
453915,112,Waterbody,,99,0.37
453929,1,Agri Land,,1303,3.83
453929,2,Agri Land,,2097,6.16
453929,3,Agri Land,,1546,4.55
453929,4,Agri Land,,1203,3.53
453929,5,Agri Land,,974,2.86
453929,6,Agri Land,,6762,19.88
453929,7,Agri Land,,790,2.32
453929,8,Agri Land,,8491,24.96
453929,81,Settlement,,4821,14.17
453929,83,River,,2499,7.34
453929,84,,,3479,10.23
453929,86,,,38,0.11
453929,112,Waterbody,,3,0.01
453929,113,,,13,0.04
453961,1,Agri Land,,579,2.22
453961,2,Agri Land,,505,1.94
453961,3,Agri Land,,3952,15.19
453961,4,Agri Land,,3931,15.11
453961,5,Agri Land,,1049,4.03
453961,6,Agri Land,,2261,8.69
453961,7,Agri Land,,1892,7.27
453961,8,Agri Land,,937,3.6
453961,9,Agri Land,,4921,18.91
453961,10,Agri Land,,804,3.09
453961,11,,,1736,6.67
453961,81,Settlement,,2526,9.71
453961,83,River,,329,1.26
453961,112,Waterbody,,573,2.2
453961,113,,,31,0.12
453936,1,Agri Land,,1293,2.6
453936,2,Agri Land,,2222,4.47
453936,3,Agri Land,,635,1.28
453936,4,Agri Land,,871,1.75
453936,5,Agri Land,,807,1.62
453936,6,Agri Land,,10192,20.49
453936,7,Agri Land,,3504,7.04
453936,8,Agri Land,,5751,11.56
453936,9,Agri Land,,2634,5.29
453936,10,Agri Land,,1031,2.07
453936,11,,,4622,9.29
453936,12,,,2557,5.14
453936,81,Settlement,,11870,23.86
453936,83,River,,505,1.01
453936,84,,,234,0.47
453936,86,,,110,0.22
453936,112,Waterbody,,345,0.69
453936,113,,,121,0.24
453936,119,,,448,0.9
453985,1,Agri Land,,5859,22.52
453985,2,Agri Land,,4509,17.33
453985,3,Agri Land,,532,2.05
453985,4,Agri Land,,617,2.37
453985,5,Agri Land,,564,2.17
453985,6,Agri Land,,174,0.67
453985,7,Agri Land,,6064,23.3
453985,8,Agri Land,,2879,11.07
453985,81,Settlement,,2994,11.51
453985,83,River,,1575,6.06
453985,105,,,46,0.18
453985,112,Waterbody,,201,0.77
453985,113,,,5,0.02
456113,1,Agri Land,,898,2.01
456113,2,Agri Land,,4570,10.23
456113,3,Agri Land,,1968,4.41
456113,4,Agri Land,,2889,6.47
456113,5,Agri Land,,2647,5.93
456113,6,Agri Land,,2353,5.27
456113,7,Agri Land,,3983,8.92
456113,8,Agri Land,,2947,6.6
456113,9,Agri Land,,2943,6.59
456113,10,Agri Land,,3327,7.45
456113,11,,,1063,2.38
456113,12,,,1179,2.64
456113,13,,,2003,4.49
456113,81,Settlement,,6704,15.01
456113,83,River,,158,0.35
456113,85,Forest,,1001,2.24
456113,86,,,50,0.11
456113,105,,,1226,2.75
456113,109,,,189,0.42
456113,112,Waterbody,,94,0.21
456113,113,,,18,0.04
456113,119,,,2438,5.46
456116,1,Agri Land,,209,0.81
456116,2,Agri Land,,8340,32.39
456116,3,Agri Land,,5733,22.26
456116,4,Agri Land,,3253,12.63
456116,5,Agri Land,,462,1.79
456116,6,Agri Land,,2299,8.93
456116,7,Agri Land,,2082,8.08
456116,8,Agri Land,,1792,6.96
456116,9,Agri Land,,435,1.69
456116,81,Settlement,,896,3.48
456116,83,River,,204,0.79
456116,112,Waterbody,,48,0.19
456120,1,Agri Land,,3606,9.1
456120,2,Agri Land,,4878,12.31
456120,3,Agri Land,,1962,4.95
456120,4,Agri Land,,5386,13.59
456120,5,Agri Land,,7095,17.9
456120,6,Agri Land,,11587,29.23
456120,7,Agri Land,,1606,4.05
456120,8,Agri Land,,364,0.92
456120,81,Settlement,,2648,6.68
456120,83,River,,213,0.54
456120,112,Waterbody,,296,0.75
456123,1,Agri Land,,543,1.92
456123,2,Agri Land,,1368,4.85
456123,3,Agri Land,,6528,23.12
456123,4,Agri Land,,8312,29.44
456123,5,Agri Land,,2908,10.3
456123,6,Agri Land,,1228,4.35
456123,7,Agri Land,,205,0.73
456123,8,Agri Land,,504,1.79
456123,9,Agri Land,,1016,3.6
456123,10,Agri Land,,557,1.97
456123,11,,,788,2.79
456123,12,,,412,1.46
456123,81,Settlement,,3583,12.69
456123,83,River,,154,0.55
456123,112,Waterbody,,121,0.43
456123,113,,,3,0.01
456122,1,Agri Land,,683,1.72
456122,2,Agri Land,,2084,5.25
456122,3,Agri Land,,1802,4.53
456122,4,Agri Land,,2353,5.92
456122,5,Agri Land,,571,1.44
456122,6,Agri Land,,5030,12.66
456122,7,Agri Land,,7434,18.71
456122,8,Agri Land,,832,2.09
456122,9,Agri Land,,1173,2.95
456122,10,Agri Land,,1952,4.91
456122,11,,,1902,4.79
456122,12,,,1880,4.73
456122,81,Settlement,,10289,25.9
456122,83,River,,821,2.07
456122,86,,,139,0.35
456122,113,,,780,1.96
456122,118,,,7,0.02
456131,1,Agri Land,,584,2.09
456131,2,Agri Land,,2696,9.64
456131,3,Agri Land,,11497,41.11
456131,4,Agri Land,,1916,6.85
456131,5,Agri Land,,5229,18.7
456131,6,Agri Land,,1231,4.4
456131,7,Agri Land,,527,1.89
456131,8,Agri Land,,676,2.42
456131,9,Agri Land,,392,1.4
456131,10,Agri Land,,450,1.61
456131,81,Settlement,,2431,8.69
456131,83,River,,305,1.09
456131,112,Waterbody,,30,0.11
456152,1,Agri Land,,1674,4.39
456152,2,Agri Land,,2576,6.75
456152,3,Agri Land,,9079,23.81
456152,4,Agri Land,,4444,11.65
456152,5,Agri Land,,3089,8.1
456152,6,Agri Land,,1646,4.32
456152,7,Agri Land,,1079,2.83
456152,8,Agri Land,,228,0.6
456152,9,Agri Land,,245,0.64
456152,10,Agri Land,,155,0.41
456152,11,,,3774,9.9
456152,12,,,3411,8.94
456152,13,,,1183,3.1
456152,81,Settlement,,4385,11.5
456152,83,River,,1086,2.85
456152,112,Waterbody,,79,0.21
456152,113,,,7,0.02
456172,1,Agri Land,,894,2.74
456172,2,Agri Land,,13374,40.98
456172,3,Agri Land,,2109,6.46
456172,4,Agri Land,,2918,8.94
456172,5,Agri Land,,2333,7.15
456172,6,Agri Land,,312,0.96
456172,7,Agri Land,,842,2.58
456172,8,Agri Land,,267,0.82
456172,80,,,11,0.03
456172,81,Settlement,,8714,26.7
456172,83,River,,133,0.41
456172,86,,,57,0.18
456172,112,Waterbody,,296,0.91
456172,113,,,80,0.25
456172,119,,,296,0.91
456165,1,Agri Land,,2313,7.38
456165,2,Agri Land,,259,0.83
456165,3,Agri Land,,1111,3.54
456165,4,Agri Land,,176,0.56
456165,5,Agri Land,,128,0.41
456165,6,Agri Land,,1994,6.36
456165,7,Agri Land,,6969,22.23
456165,8,Agri Land,,11440,36.5
456165,9,Agri Land,,2450,7.81
456165,10,Agri Land,,737,2.35
456165,81,Settlement,,3591,11.45
456165,82,,,180,0.57
456181,1,Agri Land,,1970,6.91
456181,2,Agri Land,,3383,11.86
456181,3,Agri Land,,6161,21.6
456181,4,Agri Land,,3701,12.97
456181,5,Agri Land,,3099,10.86
456181,6,Agri Land,,5935,20.81
456181,7,Agri Land,,105,0.37
456181,81,Settlement,,3233,11.34
456181,83,River,,598,2.1
456181,112,Waterbody,,336,1.18
456188,1,Agri Land,,1069,3.81
456188,2,Agri Land,,12771,45.49
456188,3,Agri Land,,3424,12.2
456188,4,Agri Land,,4507,16.05
456188,5,Agri Land,,1686,6.01
456188,6,Agri Land,,428,1.52
456188,81,Settlement,,3650,13
456188,83,River,,256,0.91
456188,112,Waterbody,,281,1
456188,113,,,4,0.01
457204,1,Agri Land,,2979,15.65
457204,2,Agri Land,,3115,16.37
457204,3,Agri Land,,3276,17.21
457204,4,Agri Land,,1067,5.61
457204,5,Agri Land,,1733,9.11
457204,6,Agri Land,,673,3.54
457204,7,Agri Land,,1296,6.81
457204,8,Agri Land,,711,3.74
457204,81,Settlement,,3169,16.65
457204,83,River,,279,1.47
457204,112,Waterbody,,373,1.96
457204,113,,,359,1.89
457209,1,Agri Land,,1453,6.55
457209,2,Agri Land,,1618,7.29
457209,3,Agri Land,,1069,4.82
457209,4,Agri Land,,7524,33.92
457209,5,Agri Land,,1864,8.41
457209,6,Agri Land,,1382,6.23
457209,7,Agri Land,,2537,11.44
457209,8,Agri Land,,681,3.07
457209,9,Agri Land,,1116,5.03
457209,81,Settlement,,2444,11.02
457209,83,River,,144,0.65
457209,112,Waterbody,,346,1.56
457209,113,,,0,0
456194,1,Agri Land,,1121,3.33
456194,2,Agri Land,,190,0.57
456194,3,Agri Land,,467,1.39
456194,4,Agri Land,,940,2.79
456194,5,Agri Land,,1121,3.33
456194,6,Agri Land,,4542,13.5
456194,7,Agri Land,,13631,40.51
456194,8,Agri Land,,4152,12.34
456194,9,Agri Land,,1895,5.63
456194,10,Agri Land,,818,2.43
456194,11,,,930,2.76
456194,81,Settlement,,3238,9.62
456194,83,River,,428,1.27
456194,112,Waterbody,,170,0.5
456194,113,,,6,0.02
457218,1,Agri Land,,630,2.26
457218,2,Agri Land,,538,1.93
457218,3,Agri Land,,3918,14.07
457218,4,Agri Land,,2546,9.15
457218,5,Agri Land,,2287,8.22
457218,6,Agri Land,,3778,13.57
457218,7,Agri Land,,2477,8.9
457218,8,Agri Land,,1431,5.14
457218,9,Agri Land,,1594,5.73
457218,10,Agri Land,,938,3.37
457218,11,,,183,0.66
457218,12,,,139,0.5
457218,80,,,23,0.08
457218,81,Settlement,,6208,22.3
457218,83,River,,754,2.71
457218,84,,,277,0.99
457218,86,,,4,0.02
457218,112,Waterbody,,43,0.15
457218,113,,,5,0.02
457218,114,,,68,0.24
457247,1,Agri Land,,15491,50.03
457247,2,Agri Land,,5434,17.55
457247,3,Agri Land,,474,1.53
457247,4,Agri Land,,1100,3.55
457247,5,Agri Land,,2206,7.13
457247,6,Agri Land,,524,1.69
457247,7,Agri Land,,356,1.15
457247,8,Agri Land,,1764,5.7
457247,81,Settlement,,2892,9.34
457247,83,River,,187,0.6
457247,112,Waterbody,,5,0.01
457247,113,,,529,1.71
457240,1,Agri Land,,503,1.3
457240,2,Agri Land,,12428,32.16
457240,3,Agri Land,,6919,17.9
457240,4,Agri Land,,3105,8.03
457240,5,Agri Land,,1649,4.27
457240,6,Agri Land,,433,1.12
457240,7,Agri Land,,3073,7.95
457240,8,Agri Land,,4902,12.68
457240,81,Settlement,,5314,13.75
457240,82,,,107,0.28
457240,83,River,,216,0.56
457256,1,Agri Land,,2085,9.14
457256,2,Agri Land,,2028,8.89
457256,3,Agri Land,,2700,11.83
457256,4,Agri Land,,1279,5.61
457256,5,Agri Land,,3250,14.24
457256,6,Agri Land,,8169,35.8
457256,7,Agri Land,,348,1.53
457256,81,Settlement,,1859,8.15
457256,83,River,,498,2.18
457256,86,,,22,0.1
457256,112,Waterbody,,329,1.44
457256,113,,,31,0.14
457256,119,,,14,0.06
457256,199,,,206,0.9
457238,1,Agri Land,,1355,4.6
457238,2,Agri Land,,2700,9.17
457238,3,Agri Land,,19339,65.67
457238,4,Agri Land,,2181,7.41
457238,81,Settlement,,766,2.6
457238,83,River,,1687,5.73
457238,85,Forest,,113,0.38
457238,112,Waterbody,,1299,4.41
457238,113,,,5,0.02
457238,119,,,3,0.01
457263,1,Agri Land,,1085,4.5
457263,2,Agri Land,,1829,7.59
457263,3,Agri Land,,2534,10.51
457263,4,Agri Land,,2192,9.09
457263,5,Agri Land,,1292,5.36
457263,6,Agri Land,,3658,15.17
457263,7,Agri Land,,9063,37.59
457263,8,Agri Land,,268,1.11
457263,81,Settlement,,1466,6.08
457263,83,River,,529,2.2
457263,112,Waterbody,,171,0.71
457263,113,,,22,0.09
457283,1,Agri Land,,13151,42.11
457283,2,Agri Land,,2231,7.14
457283,3,Agri Land,,3770,12.07
457283,4,Agri Land,,3381,10.83
457283,5,Agri Land,,307,0.98
457283,6,Agri Land,,314,1.01
457283,7,Agri Land,,49,0.16
457283,8,Agri Land,,538,1.72
457283,9,Agri Land,,2183,6.99
457283,81,Settlement,,4210,13.48
457283,83,River,,341,1.09
457283,112,Waterbody,,754,2.41
457283,113,,,1,0
457274,1,Agri Land,,977,2.94
457274,2,Agri Land,,395,1.19
457274,3,Agri Land,,601,1.8
457274,4,Agri Land,,4232,12.72
457274,5,Agri Land,,1633,4.91
457274,6,Agri Land,,9659,29.03
457274,7,Agri Land,,3594,10.8
457274,8,Agri Land,,227,0.68
457274,80,,,197,0.59
457274,81,Settlement,,9779,29.39
457274,83,River,,671,2.02
457274,84,,,15,0.04
457274,86,,,28,0.09
457274,112,Waterbody,,791,2.38
457274,113,,,65,0.19
457274,119,,,408,1.23
458937,1,Agri Land,,464,2.29
458937,2,Agri Land,,2243,11.08
458937,3,Agri Land,,1302,6.43
458937,4,Agri Land,,413,2.04
458937,5,Agri Land,,286,1.41
458937,6,Agri Land,,1592,7.87
458937,7,Agri Land,,2751,13.59
458937,8,Agri Land,,3823,18.89
458937,9,Agri Land,,1041,5.15
458937,10,Agri Land,,1763,8.71
458937,11,,,884,4.37
458937,12,,,1917,9.47
458937,13,,,1133,5.6
458937,81,Settlement,,482,2.38
458937,83,River,,67,0.33
458937,112,Waterbody,,75,0.37
458937,113,,,3,0.02
458967,1,Agri Land,,312,1.86
458967,2,Agri Land,,4754,28.45
458967,3,Agri Land,,3241,19.39
458967,4,Agri Land,,898,5.37
458967,5,Agri Land,,3925,23.48
458967,6,Agri Land,,660,3.95
458967,7,Agri Land,,743,4.45
458967,8,Agri Land,,176,1.05
458967,9,Agri Land,,606,3.63
458967,81,Settlement,,732,4.38
458967,83,River,,155,0.93
458967,112,Waterbody,,512,3.06
458988,1,Agri Land,,10621,31.33
458988,2,Agri Land,,6094,17.98
458988,3,Agri Land,,3168,9.34
458988,4,Agri Land,,1791,5.28
458988,5,Agri Land,,1289,3.8
458988,6,Agri Land,,3857,11.38
458988,7,Agri Land,,1745,5.15
458988,8,Agri Land,,1845,5.44
458988,9,Agri Land,,812,2.4
458988,81,Settlement,,2029,5.99
458988,83,River,,248,0.73
458988,112,Waterbody,,396,1.17
458988,113,,,5,0.02
458970,1,Agri Land,,1736,5.22
458970,2,Agri Land,,146,0.44
458970,3,Agri Land,,457,1.38
458970,4,Agri Land,,1396,4.2
458970,5,Agri Land,,8848,26.62
458970,6,Agri Land,,8937,26.88
458970,7,Agri Land,,4964,14.93
458970,8,Agri Land,,1381,4.15
458970,9,Agri Land,,2095,6.3
458970,10,Agri Land,,1945,5.85
458970,81,Settlement,,973,2.93
458970,83,River,,283,0.85
458970,112,Waterbody,,63,0.19
458970,113,,,21,0.06
501006,1,Agri Land,,9173,53.85
501006,2,Agri Land,,1788,10.5
501006,3,Agri Land,,797,4.68
501006,4,Agri Land,,731,4.29
501006,5,Agri Land,,1682,9.88
501006,6,Agri Land,,83,0.48
501006,7,Agri Land,,237,1.39
501006,8,Agri Land,,31,0.18
501006,81,Settlement,,2176,12.77
501006,112,Waterbody,,160,0.94
501006,113,,,178,1.04
501020,1,Agri Land,,543,3.05
501020,2,Agri Land,,1505,8.46
501020,3,Agri Land,,2528,14.2
501020,4,Agri Land,,1224,6.88
501020,5,Agri Land,,986,5.54
501020,6,Agri Land,,2409,13.54
501020,7,Agri Land,,2074,11.65
501020,8,Agri Land,,372,2.09
501020,9,Agri Land,,407,2.29
501020,81,Settlement,,5245,29.47
501020,112,Waterbody,,459,2.58
501020,113,,,45,0.25
501027,1,Agri Land,,7101,28.22
501027,2,Agri Land,,724,2.88
501027,3,Agri Land,,3043,12.1
501027,4,Agri Land,,463,1.84
501027,5,Agri Land,,174,0.69
501027,6,Agri Land,,6122,24.33
501027,7,Agri Land,,738,2.94
501027,8,Agri Land,,622,2.47
501027,9,Agri Land,,116,0.46
501027,10,Agri Land,,397,1.58
501027,81,Settlement,,4099,16.29
501027,83,River,,1300,5.17
501027,112,Waterbody,,228,0.91
501027,113,,,32,0.13
501040,1,Agri Land,,271,1.11
501040,2,Agri Land,,3891,15.96
501040,3,Agri Land,,1522,6.24
501040,4,Agri Land,,1096,4.5
501040,5,Agri Land,,7032,28.84
501040,6,Agri Land,,3240,13.29
501040,7,Agri Land,,3181,13.04
501040,81,Settlement,,3655,14.99
501040,83,River,,40,0.16
501040,112,Waterbody,,441,1.81
501040,113,,,16,0.07
501085,1,Agri Land,,1068,4.83
501085,2,Agri Land,,1455,6.58
501085,3,Agri Land,,5642,25.51
501085,4,Agri Land,,1612,7.29
501085,5,Agri Land,,889,4.02
501085,6,Agri Land,,1937,8.76
501085,7,Agri Land,,1550,7.01
501085,8,Agri Land,,719,3.25
501085,9,Agri Land,,749,3.38
501085,81,Settlement,,5818,26.3
501085,83,River,,14,0.07
501085,112,Waterbody,,22,0.1
501085,113,,,163,0.74
501085,120,,,480,2.17
501081,1,Agri Land,,652,1.51
501081,2,Agri Land,,497,1.15
501081,3,Agri Land,,1541,3.56
501081,4,Agri Land,,1794,4.15
501081,5,Agri Land,,697,1.61
501081,6,Agri Land,,1721,3.98
501081,7,Agri Land,,1184,2.74
501081,8,Agri Land,,11662,26.95
501081,9,Agri Land,,4755,10.99
501081,81,Settlement,,2711,6.27
501081,83,River,,10822,25.01
501081,84,,,5109,11.81
501081,112,Waterbody,,113,0.26
501081,113,,,8,0.02
501067,1,Agri Land,,3199,11.77
501067,2,Agri Land,,388,1.43
501067,3,Agri Land,,9269,34.12
501067,4,Agri Land,,6565,24.16
501067,5,Agri Land,,1367,5.03
501067,6,Agri Land,,1079,3.97
501067,7,Agri Land,,112,0.41
501067,81,Settlement,,4917,18.1
501067,113,,,273,1.01
501033,1,Agri Land,,11888,73.05
501033,2,Agri Land,,1803,11.08
501033,3,Agri Land,,126,0.78
501033,4,Agri Land,,464,2.85
501033,81,Settlement,,1924,11.83
501033,113,,,68,0.42
501054,1,Agri Land,,1540,6.4
501054,2,Agri Land,,784,3.26
501054,3,Agri Land,,8529,35.46
501054,4,Agri Land,,9279,38.58
501054,5,Agri Land,,419,1.74
501054,6,Agri Land,,578,2.4
501054,81,Settlement,,2791,11.6
501054,113,,,134,0.56
501088,1,Agri Land,,981,3.3
501088,2,Agri Land,,1653,5.56
501088,3,Agri Land,,3033,10.21
501088,4,Agri Land,,2375,8
501088,5,Agri Land,,6615,22.27
501088,6,Agri Land,,928,3.13
501088,7,Agri Land,,602,2.03
501088,8,Agri Land,,2974,10.01
501088,9,Agri Land,,5776,19.45
501088,10,Agri Land,,1388,4.68
501088,81,Settlement,,2937,9.89
501088,83,River,,254,0.86
501088,112,Waterbody,,84,0.28
501088,113,,,99,0.33
501094,1,Agri Land,,6799,21.54
501094,2,Agri Land,,2064,6.54
501094,3,Agri Land,,2509,7.95
501094,4,Agri Land,,592,1.88
501094,5,Agri Land,,209,0.66
501094,6,Agri Land,,6982,22.12
501094,7,Agri Land,,3817,12.1
501094,8,Agri Land,,2626,8.32
501094,9,Agri Land,,256,0.81
501094,81,Settlement,,5146,16.31
501094,83,River,,222,0.7
501094,103,,,158,0.5
501094,112,Waterbody,,104,0.33
501094,113,,,75,0.24
501094,133,,,1,0
501095,1,Agri Land,,1858,11.59
501095,2,Agri Land,,253,1.58
501095,3,Agri Land,,3152,19.66
501095,4,Agri Land,,594,3.71
501095,5,Agri Land,,2442,15.23
501095,6,Agri Land,,1090,6.8
501095,7,Agri Land,,723,4.51
501095,8,Agri Land,,1895,11.82
501095,9,Agri Land,,488,3.04
501095,10,Agri Land,,682,4.25
501095,81,Settlement,,1893,11.8
501095,83,River,,723,4.51
501095,112,Waterbody,,200,1.25
501095,113,,,38,0.24
507018,1,Agri Land,,647,5.24
507018,2,Agri Land,,333,2.7
507018,3,Agri Land,,215,1.74
507018,4,Agri Land,,1218,9.86
507018,5,Agri Land,,3463,28.04
507018,6,Agri Land,,2171,17.57
507018,7,Agri Land,,177,1.43
507018,81,Settlement,,1185,9.59
507018,83,River,,110,0.89
507018,86,,,57,0.46
507018,101,,,2151,17.41
507018,112,Waterbody,,418,3.38
507018,113,,,24,0.2
507018,119,,,183,1.48
507066,1,Agri Land,,636,1.45
507066,2,Agri Land,,4790,10.94
507066,3,Agri Land,,1116,2.55
507066,4,Agri Land,,855,1.95
507066,5,Agri Land,,1435,3.28
507066,6,Agri Land,,1764,4.03
507066,7,Agri Land,,10948,25
507066,8,Agri Land,,1329,3.03
507066,9,Agri Land,,1695,3.87
507066,10,Agri Land,,3431,7.84
507066,81,Settlement,,4928,11.25
507066,83,River,,3330,7.61
507066,84,,,4017,9.17
507066,97,,,21,0.05
507066,101,,,3036,6.93
507066,112,Waterbody,,266,0.61
507066,113,,,141,0.32
507066,999,,,51,0.12
507056,1,Agri Land,,2083,7.35
507056,2,Agri Land,,8019,28.28
507056,3,Agri Land,,5868,20.7
507056,4,Agri Land,,875,3.09
507056,5,Agri Land,,4984,17.58
507056,6,Agri Land,,567,2
507056,7,Agri Land,,416,1.47
507056,8,Agri Land,,1163,4.1
507056,81,Settlement,,3382,11.93
507056,83,River,,110,0.39
507056,86,,,28,0.1
507056,101,,,211,0.74
507056,112,Waterbody,,128,0.45
507056,113,,,520,1.84
507037,1,Agri Land,,240,0.75
507037,2,Agri Land,,9341,29.29
507037,3,Agri Land,,901,2.83
507037,4,Agri Land,,2705,8.48
507037,5,Agri Land,,548,1.72
507037,6,Agri Land,,805,2.52
507037,7,Agri Land,,3824,11.99
507037,8,Agri Land,,2725,8.54
507037,9,Agri Land,,1887,5.92
507037,10,Agri Land,,2216,6.95
507037,11,,,2557,8.02
507037,81,Settlement,,3033,9.51
507037,83,River,,579,1.82
507037,112,Waterbody,,403,1.26
507037,113,,,129,0.41
503813,1,Agri Land,,6075,43.2
503813,2,Agri Land,,1250,8.89
503813,3,Agri Land,,1907,13.56
503813,4,Agri Land,,276,1.96
503813,5,Agri Land,,2000,14.22
503813,6,Agri Land,,455,3.23
503813,7,Agri Land,,88,0.62
503813,81,Settlement,,1800,12.8
503813,83,River,,65,0.46
503813,90,,,9,0.06
503813,112,Waterbody,,66,0.47
503813,113,,,73,0.52
507088,1,Agri Land,,6767,12.86
507088,2,Agri Land,,9365,17.8
507088,3,Agri Land,,2155,4.1
507088,4,Agri Land,,3554,6.76
507088,5,Agri Land,,8932,16.98
507088,6,Agri Land,,6098,11.59
507088,7,Agri Land,,2893,5.5
507088,8,Agri Land,,3358,6.38
507088,81,Settlement,,6576,12.5
507088,83,River,,2156,4.1
507088,84,,,294,0.56
507088,112,Waterbody,,69,0.13
507088,113,,,391,0.74
503858,1,Agri Land,,2667,16.07
503858,2,Agri Land,,2403,14.48
503858,3,Agri Land,,9237,55.66
503858,4,Agri Land,,360,2.17
503858,81,Settlement,,1863,11.23
503858,113,,,64,0.39
503847,1,Agri Land,,1472,6.23
503847,2,Agri Land,,1420,6.01
503847,3,Agri Land,,4456,18.86
503847,4,Agri Land,,314,1.33
503847,5,Agri Land,,689,2.92
503847,6,Agri Land,,8393,35.52
503847,7,Agri Land,,3820,16.17
503847,8,Agri Land,,737,3.12
